-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1981 through 04/23/2020 
Location: Latitude  47.3929   Longitude -124.3132 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 107.92 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,PS,QV2M,T2M_RANGE,TS,T2MDEW,T2M,WS50M,WS10M,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
47.39291,-124.31319,1981,03,30,   22.48,   99.90,  0.005886,    1.55,    8.13,    6.07,    7.54,    7.43,    5.77,-999,-999,-999
47.39291,-124.31319,1981,03,31,   17.70,   99.43,  0.005506,    3.22,    7.83,    5.05,    6.64,    5.58,    4.40,-999,-999,-999
47.39291,-124.31319,1981,04,01,    4.29,  100.24,  0.004836,    3.10,    7.51,    3.35,    6.39,    2.37,    1.89,-999,-999,-999
47.39291,-124.31319,1981,04,02,    7.66,  100.08,  0.005364,    2.19,    7.58,    4.78,    6.80,    6.43,    4.93,-999,-999,-999
47.39291,-124.31319,1981,04,03,    3.43,  100.68,  0.004733,    2.76,    8.21,    3.09,    7.74,    7.81,    5.87,-999,-999,-999
47.39291,-124.31319,1981,04,04,    4.73,  101.21,  0.005940,    3.49,    8.20,    6.34,    7.85,    6.76,    5.14,-999,-999,-999
47.39291,-124.31319,1981,04,05,   18.21,  100.96,  0.005248,    1.55,    8.11,    4.56,    7.42,    9.72,    7.46,-999,-999,-999
47.39291,-124.31319,1981,04,06,    4.71,  101.22,  0.004891,    1.82,    7.59,    3.64,    6.52,    6.23,    4.76,-999,-999,-999
47.39291,-124.31319,1981,04,07,   17.49,  100.38,  0.005550,    0.68,    7.66,    5.32,    6.34,    4.39,    3.43,-999,-999,-999
47.39291,-124.31319,1981,04,08,   15.57,   99.84,  0.005508,    1.65,    7.89,    5.10,    6.94,    6.50,    5.08,-999,-999,-999
47.39291,-124.31319,1981,04,09,    9.52,  100.33,  0.004975,    1.37,    7.55,    3.76,    6.21,    6.16,    4.78,-999,-999,-999
47.39291,-124.31319,1981,04,10,   20.78,   99.66,  0.005160,    1.12,    7.05,    4.15,    5.37,    7.32,    5.80,-999,-999,-999
47.39291,-124.31319,1981,04,11,   11.10,   99.48,  0.004653,    1.53,    6.93,    2.67,    5.04,    6.45,    5.06,-999,-999,-999
47.39291,-124.31319,1981,04,12,    3.28,  100.68,  0.004504,    3.33,    7.11,    2.35,    6.33,    6.85,    5.32,-999,-999,-999
47.39291,-124.31319,1981,04,13,    0.72,  101.34,  0.004521,    8.78,    7.44,    2.35,    7.18,    4.07,    2.79,-999,-999,-999
47.39291,-124.31319,1981,04,14,    0.10,  100.55,  0.005514,   10.36,    9.61,    4.98,    9.65,    3.76,    2.69,-999,-999,-999
47.39291,-124.31319,1981,04,15,    8.85,  100.16,  0.006851,    3.53,    9.54,    8.32,    9.59,    6.97,    5.15,-999,-999,-999
47.39291,-124.31319,1981,04,16,    0.68,  101.05,  0.006090,    4.57,    9.54,    6.73,    9.49,    3.50,    2.57,-999,-999,-999
47.39291,-124.31319,1981,04,17,    0.00,  100.88,  0.005435,    6.52,    9.42,    5.07,    9.01,    5.59,    4.51,-999,-999,-999
47.39291,-124.31319,1981,04,18,    0.02,  100.06,  0.006078,    8.37,   10.46,    6.45,   10.64,    4.47,    3.58,-999,-999,-999
